ADM1100 - Introduction To Business Mgmt.,,,,,,,,
,,DGD,1,W,17:30,19:00,STE C0136,N/A
ADM2304 - Applic Of Stat Methods In Bus,,,,,,,,
20139,ADM2304A 1DGD,LEC,1,W,16:00,17:30,DMS 1130,Tony Quon
,,LEC,2,F,14:30,16:00,DMS 1130,Tony Quon
,,DGD,1,T,14:30,16:00,MCD 120,N/A
,,DGD,2,F,10:00,11:30,FTX 402,N/A
,ADM2304B 1DGD,LEC,1,M,19:00,22:00,DMS 1130,Surendranath Phansalker
,,DGD,1,F,13:00,14:30,TBT 323,N/A
,,DGD,2,T,17:30,19:00,LEE B163,N/A
20141,ADM2304M 1DGD,LEC,1,W,13:00,14:30,DMS 1150,Tony Quon
,,LEC,2,F,11:30,13:00,DMS 1150,Tony Quon
,,DGD,1,F,08:30,10:00,MRT 221,N/A
,,DGD,2,R,10:00,11:30,DMS 1140,N/A
,ADM2304N 1DGD,LEC,1,T,16:00,17:30,DMS 1130,Tony Quon
,,LEC,2,R,14:30,16:00,DMS 1130,Tony Quon
,,DGD,1,W,10:00,11:30,CBY B012,N/A
,,DGD,2,W,17:30,19:00,STE F0126,N/A
,ADM2304P 1DGD,LEC,1,W,10:00,11:30,MNT 201,Jonathan Patrick
,,LEC,2,F,08:30,10:00,MNT 201,Jonathan Patrick
,,DGD,1,R,16:00,17:30,MCD 120,N/A
,,DGD,2,T,08:30,10:00,TBT 323,N/A
,ADM2304Q 1DGD,LEC,1,T,10:00,11:30,DMS 1150,Tony Quon
,,LEC,2,R,08:30,10:00,DMS 1120,Tony Quon
,,DGD,1,F,13:00,14:30,LPR 154,N/A
,,DGD,2,R,13:00,14:30,LMX 242,N/A
,ADM2304R 1DGD,LEC,1,M,19:00,22:00,SMD 425,Surendranath Phansalker
,,DGD,1,M,17:30,19:00,MNT 207,N/A
,,DGD,2,T,17:30,19:00,CBY D103,N/A
,ADM2304S 1DGD,LEC,1,M,11:30,13:00,DMS 1120,Surendranath Phansalker
,,LEC,2,R,13:00,14:30,DMS 1120,Surendranath Phansalker
,,DGD,1,R,11:30,13:00,LMX 339,N/A
,,DGD,2,T,13:00,14:30,LPR 154,N/A
ADM2320 - Marketing,,,,,,,,
20139,ADM2320A,LEC,1,T,13:00,14:30,DMS 1150,Marzena Cedzynski
